"","GoC","MFB","MLI","PkC_cs","PkC_ss"
"GoC",5,2,2,0,0
"MFB",1,22,1,4,0
"MLI",4,5,14,0,0
"PkC_cs",0,0,1,46,0
"PkC_ss",0,1,2,0,60
