cell_id,PSTH_0,PSTH_1,PSTH_2,PSTH_3,PSTH_4,PSTH_5,PSTH_6,PSTH_7,PSTH_8,PSTH_9,PSTH_10,PSTH_11,PSTH_12,PSTH_13,PSTH_14,PSTH_15,PSTH_16,PSTH_17,PSTH_18,PSTH_19,PSTH_20,PSTH_21,PSTH_22,PSTH_23,PSTH_24,PSTH_25,PSTH_26,PSTH_27,PSTH_28,PSTH_29,PSTH_30,PSTH_31,PSTH_32,PSTH_33,PSTH_34,PSTH_35,PSTH_36,PSTH_37,PSTH_38,PSTH_39,PSTH_40,PSTH_41,PSTH_42,PSTH_43,PSTH_44,PSTH_45,PSTH_46,PSTH_47,PSTH_48,PSTH_49,PSTH_50,PSTH_51,PSTH_52,PSTH_53,PSTH_54,PSTH_55,PSTH_56,PSTH_57,PSTH_58,PSTH_59,PSTH_60,PSTH_61,PSTH_62,PSTH_63,PSTH_64,PSTH_65,PSTH_66,PSTH_67,PSTH_68,PSTH_69,PSTH_70,PSTH_71,PSTH_72,PSTH_73,PSTH_74,PSTH_75,PSTH_76,PSTH_77,PSTH_78,PSTH_79,PSTH_80,PSTH_81,PSTH_82,PSTH_83,PSTH_84,PSTH_85,PSTH_86,PSTH_87,PSTH_88,PSTH_89,PSTH_90,PSTH_91,PSTH_92,PSTH_93,PSTH_94,PSTH_95,PSTH_96,PSTH_97,PSTH_98,PSTH_99,PSTH_100,PSTH_101,PSTH_102,PSTH_103,PSTH_104,PSTH_105,PSTH_106,PSTH_107,PSTH_108,PSTH_109,PSTH_110,PSTH_111,PSTH_112,PSTH_113,PSTH_114,PSTH_115,PSTH_116,PSTH_117,PSTH_118,PSTH_119,PSTH_120,PSTH_121,PSTH_122,PSTH_123,PSTH_124,PSTH_125,PSTH_126,PSTH_127,PSTH_128,PSTH_129,PSTH_130,PSTH_131,PSTH_132,PSTH_133,PSTH_134,PSTH_135,PSTH_136,PSTH_137,PSTH_138,PSTH_139,PSTH_140,PSTH_141,PSTH_142,PSTH_143,PSTH_144,PSTH_145,PSTH_146,PSTH_147,PSTH_148,PSTH_149,PSTH_150
cell_146,52.863436123348016,51.395007342143906,50.220264317180614,48.458149779735685,53.74449339207049,51.98237885462556,47.57709251101322,54.62555066079295,56.38766519823788,51.101321585903094,57.26872246696036,58.14977973568282,60.79295154185022,59.91189427312776,60.79295154185022,55.506607929515425,54.62555066079295,51.10132158590309,49.33920704845816,47.57709251101322,50.22026431718062,49.33920704845816,44.933920704845825,45.81497797356828,44.93392070484582,35.24229074889868,38.76651982378855,41.40969162995595,42.290748898678416,37.885462555066084,46.69603524229076,40.528634361233486,35.24229074889868,32.59911894273128,39.647577092511014,34.36123348017622,34.36123348017622,37.00440528634362,37.00440528634362,34.36123348017621,34.36123348017622,34.36123348017622,32.59911894273128,32.59911894273128,29.95594713656388,30.837004405286343,31.718061674008812,29.074889867841414,25.55066079295154,26.43171806167401,27.31277533039648,29.074889867841414,33.480176211453745,33.480176211453745,61.674008810572694,103.9647577092511,156.82819383259914,201.76211453744494,230.83700440528636,228.19383259911896,222.0264317180617,215.85903083700444,198.2378854625551,192.07048458149782,185.90308370044056,162.99559471365643,130.39647577092515,125.9911894273128,119.82378854625553,117.18061674008814,115.4185022026432,114.53744493392074,100.44052863436127,98.67841409691633,95.15418502202647,95.15418502202647,93.39207048458152,93.39207048458152,88.98678414096918,81.93832599118944,83.70044052863437,84.58149779735685,84.58149779735685,85.46255506607932,95.15418502202645,91.62995594713658,83.70044052863439,83.70044052863437,85.46255506607932,74.00881057268724,74.00881057268724,75.77092511013217,74.00881057268724,72.24669603524231,75.77092511013217,68.72246696035243,67.84140969162996,74.00881057268722,73.12775330396477,74.88986784140971,79.29515418502203,77.53303964757711,73.12775330396477,70.48458149779736,66.07929515418503,63.43612334801763,62.55506607929516,58.14977973568283,62.55506607929515,65.19823788546256,64.31718061674009,63.43612334801762,61.67400881057269,60.79295154185023,55.50660792951542,59.03083700440529,65.19823788546256,67.84140969162996,64.31718061674009,69.60352422907489,63.43612334801763,55.506607929515425,52.86343612334802,52.863436123348016,44.93392070484582,48.458149779735685,47.57709251101322,49.33920704845816,45.81497797356829,47.57709251101322,44.93392070484582,46.696035242290755,43.17180616740088,44.93392070484582,46.69603524229075,44.93392070484582,44.05286343612335,44.05286343612335,44.052863436123346,44.93392070484582,45.81497797356829,44.05286343612335,39.647577092511014,31.718061674008812,32.59911894273128,30.837004405286343,35.24229074889868,37.885462555066084,44.93392070484582,44.052863436123346,44.05286343612335
cell_147,20.64896755162242,23.59882005899705,21.238938053097346,21.23893805309735,21.238938053097343,17.109144542772864,17.10914454277286,18.879056047197643,21.238938053097346,20.64896755162242,21.23893805309735,19.469026548672566,22.418879056047196,20.64896755162242,19.469026548672566,23.008849557522126,22.418879056047196,19.469026548672566,17.10914454277286,18.289085545722713,14.749262536873156,17.10914454277286,16.519174041297937,20.05899705014749,18.879056047197643,21.238938053097346,18.87905604719764,17.699115044247787,19.469026548672566,19.469026548672566,17.699115044247787,19.469026548672566,20.05899705014749,15.929203539823009,14.749262536873157,16.519174041297937,15.339233038348082,14.15929203539823,14.159292035398229,15.339233038348082,11.2094395280236,8.259587020648969,8.849557522123893,6.489675516224188,5.899705014749262,7.669616519174042,8.849557522123895,8.259587020648967,7.669616519174042,7.669616519174042,7.66961651917404,7.079646017699115,7.079646017699115,14.15929203539823,27.72861356932153,40.117994100294986,54.86725663716814,73.15634218289085,80.23598820058997,85.54572271386431,105.6047197640118,129.79351032448378,139.2330383480826,145.1327433628319,142.77286135693217,128.61356932153393,115.63421828908555,105.6047197640118,103.24483775811208,106.78466076696165,104.42477876106196,99.11504424778761,100.88495575221239,105.6047197640118,105.6047197640118,109.7345132743363,110.91445427728615,106.78466076696166,105.6047197640118,106.78466076696165,107.96460176991151,102.65486725663717,111.50442477876106,109.7345132743363,100.29498525073747,97.34513274336284,100.88495575221239,88.49557522123894,78.46607669616519,78.46607669616519,71.38643067846607,60.17699115044247,56.047197640117986,55.45722713864306,53.097345132743364,48.96755162241888,46.607669616519175,48.37758112094395,53.097345132743364,53.09734513274337,53.687315634218294,53.687315634218294,50.737463126843664,40.70796460176991,37.75811209439529,31.85840707964602,30.678466076696164,31.85840707964602,34.21828908554572,34.21828908554572,36.57817109144543,35.39823008849558,31.858407079646017,30.678466076696164,29.49852507374631,31.858407079646014,34.80825958702065,34.21828908554572,37.75811209439528,35.39823008849557,33.6283185840708,31.858407079646017,30.678466076696168,27.728613569321535,28.908554572271385,24.778761061946902,30.088495575221238,31.26843657817109,29.498525073746315,28.908554572271385,34.21828908554572,25.958702064896755,26.548672566371682,24.18879056047198,20.64896755162242,18.87905604719764,23.008849557522126,22.418879056047196,24.18879056047198,27.72861356932153,21.828908554572273,20.058997050147493,21.828908554572273,22.418879056047196,21.82890855457227,26.548672566371682,27.728613569321535,24.18879056047198,25.368731563421832,25.565388397246807,26.548672566371682
cell_148,20.761245674740486,18.45444059976932,19.377162629757787,17.99307958477509,17.301038062283737,19.377162629757787,16.60899653979239,18.68512110726644,18.68512110726644,20.761245674740486,18.68512110726644,19.37716262975779,20.06920415224914,22.83737024221454,21.453287197231838,19.377162629757787,17.30103806228374,15.916955017301039,15.916955017301039,15.224913494809691,19.377162629757787,20.761245674740486,22.145328719723185,17.99307958477509,20.06920415224914,17.30103806228374,17.99307958477509,15.224913494809691,16.60899653979239,15.22491349480969,13.84083044982699,11.764705882352942,13.14878892733564,11.764705882352942,13.840830449826992,15.91695501730104,15.224913494809691,13.14878892733564,12.456747404844291,8.996539792387543,8.996539792387543,8.304498269896193,10.380622837370241,10.380622837370241,10.380622837370243,8.996539792387544,10.380622837370241,8.996539792387543,9.688581314878892,8.304498269896193,8.996539792387544,6.920415224913495,8.304498269896195,9.688581314878894,15.916955017301039,25.60553633217993,51.21107266435986,83.73702422145328,117.64705882352939,141.8685121107266,169.55017301038058,175.08650519031139,172.318339100346,168.85813148788927,164.70588235294113,150.1730103806228,146.71280276816606,135.6401384083045,127.33564013840828,114.18685121107265,111.41868512110726,105.19031141868511,100.34602076124567,94.11764705882354,97.57785467128028,93.42560553633218,99.65397923875433,107.26643598615915,107.9584775086505,115.57093425605534,118.33910034602073,111.41868512110725,111.41868512110725,115.57093425605534,110.72664359861591,107.26643598615918,101.03806228373702,94.80968858131489,88.58131487889273,84.42906574394463,76.81660899653978,73.35640138408303,69.20415224913494,69.20415224913494,69.20415224913494,71.28027681660899,67.82006920415225,60.89965397923876,53.97923875432526,51.903114186851205,51.903114186851205,55.363321799307954,55.363321799307954,54.67128027681661,54.67128027681661,53.979238754325266,51.90311418685122,56.05536332179931,57.43944636678201,53.97923875432526,50.51903114186851,48.442906574394456,43.59861591695501,40.830449826989614,36.67820069204153,33.91003460207613,34.602076124567475,37.37024221453287,35.98615916955018,37.37024221453287,38.754325259515575,37.37024221453287,40.83044982698962,38.75432525951557,36.67820069204153,36.67820069204153,33.910034602076124,26.989619377162633,26.989619377162636,27.681660899653984,24.22145328719724,25.605536332179938,22.14532871972319,24.22145328719723,23.529411764705884,24.913494809688583,24.913494809688586,26.297577854671285,23.529411764705888,22.145328719723185,23.529411764705884,22.145328719723185,25.60553633217993,25.60553633217993,26.989619377162633,27.68166089965398,29.75778546712803,24.221453287197235,24.221453287197235,19.607843137254903,20.761245674740483
cell_149,11.76470588235294,23.52941176470588,21.176470588235293,21.176470588235293,18.823529411764703,14.11764705882353,18.823529411764707,18.823529411764707,23.529411764705884,30.588235294117645,32.94117647058823,30.588235294117652,32.94117647058823,30.58823529411765,21.176470588235293,25.88235294117647,32.94117647058824,30.58823529411765,30.588235294117652,35.294117647058826,28.23529411764706,21.176470588235293,16.47058823529412,16.47058823529412,16.47058823529412,16.470588235294116,16.47058823529412,16.47058823529412,11.764705882352942,7.0588235294117645,9.411764705882353,7.0588235294117645,16.470588235294116,18.823529411764703,18.823529411764703,14.11764705882353,14.11764705882353,7.0588235294117645,4.705882352941177,4.705882352941177,7.0588235294117645,4.705882352941177,2.3529411764705883,4.705882352941177,4.705882352941177,7.0588235294117645,7.0588235294117645,11.764705882352942,9.411764705882353,11.764705882352942,9.411764705882353,9.411764705882353,9.411764705882353,28.235294117647058,47.05882352941177,63.529411764705884,77.64705882352942,91.76470588235294,91.76470588235294,77.64705882352942,68.23529411764706,61.17647058823529,49.41176470588236,35.29411764705882,35.294117647058826,28.235294117647058,25.88235294117647,25.88235294117647,23.52941176470588,25.88235294117647,23.529411764705884,18.823529411764707,16.47058823529412,21.176470588235293,16.47058823529412,28.23529411764706,35.294117647058826,35.294117647058826,28.23529411764706,35.294117647058826,23.529411764705884,18.823529411764707,16.47058823529412,21.176470588235297,14.117647058823529,16.470588235294116,21.176470588235297,21.176470588235293,23.52941176470588,25.88235294117647,23.52941176470588,23.52941176470588,23.52941176470588,16.470588235294116,9.411764705882353,16.470588235294116,9.411764705882353,11.764705882352942,21.176470588235297,23.529411764705884,23.52941176470588,25.882352941176467,28.235294117647058,18.823529411764707,18.823529411764703,14.11764705882353,11.764705882352942,4.705882352941177,7.0588235294117645,9.411764705882353,9.411764705882353,14.117647058823529,16.470588235294116,16.47058823529412,11.764705882352942,11.764705882352942,9.411764705882353,11.764705882352942,14.117647058823529,16.470588235294116,16.47058823529412,14.11764705882353,14.117647058823529,9.411764705882353,9.411764705882353,7.0588235294117645,7.0588235294117645,7.0588235294117645,9.411764705882353,11.764705882352942,16.47058823529412,18.823529411764707,16.47058823529412,18.823529411764707,14.117647058823529,9.411764705882353,11.764705882352942,14.117647058823529,14.117647058823529,21.176470588235293,23.52941176470588,23.52941176470588,21.176470588235293,18.823529411764703,14.11764705882353,14.11764705882353,14.117647058823529,21.176470588235297,23.529411764705884,31.372549019607842,23.52941176470588
cell_150,22.371364653243845,15.65995525727069,12.080536912751676,10.738255033557046,9.843400447427292,8.50111856823266,12.527964205816552,10.290827740492169,9.395973154362416,10.290827740492169,11.185682326621922,10.738255033557046,12.080536912751676,12.527964205816554,13.422818791946307,13.422818791946307,13.422818791946309,15.212527964205817,15.212527964205817,15.659955257270694,16.107382550335572,16.55480984340045,14.76510067114094,15.659955257270694,14.765100671140939,13.870246085011185,12.527964205816556,11.185682326621924,8.053691275167784,6.711409395973154,6.263982102908277,5.8165548098433995,5.8165548098433995,8.053691275167784,8.053691275167784,7.606263982102908,8.053691275167786,8.053691275167784,6.711409395973154,5.8165548098433995,6.263982102908277,4.921700223713646,4.47427293064877,3.131991051454139,3.579418344519016,3.131991051454139,3.131991051454139,3.579418344519016,4.921700223713647,4.921700223713647,4.026845637583893,3.131991051454139,6.263982102908278,34.899328859060404,94.40715883668904,135.12304250559285,165.99552572706935,184.3400447427293,187.91946308724835,153.4675615212528,132.88590604026845,118.12080536912752,105.59284116331096,86.35346756152126,67.56152125279642,51.90156599552573,39.82102908277405,37.13646532438479,26.398210290827738,25.055928411633108,22.81879194630872,24.608501118568228,22.371364653243845,21.923937360178968,19.686800894854585,20.134228187919465,17.449664429530202,14.76510067114094,16.107382550335572,15.212527964205817,15.212527964205815,14.317673378076062,14.765100671140939,13.870246085011185,17.89709172259508,17.89709172259508,18.344519015659955,20.58165548098434,23.2662192393736,22.81879194630872,28.635346756152124,30.87248322147651,29.977628635346754,29.977628635346754,29.082774049217,25.055928411633108,21.923937360178964,21.029082774049215,19.23937360178971,21.029082774049215,21.029082774049215,21.47651006711409,22.371364653243848,21.47651006711409,16.554809843400445,14.317673378076064,12.975391498881432,12.080536912751677,9.395973154362414,8.501118568232663,8.053691275167784,8.053691275167786,6.7114093959731544,9.395973154362416,10.29082774049217,11.6331096196868,14.317673378076062,15.212527964205817,13.870246085011185,13.870246085011184,14.765100671140939,13.422818791946307,13.870246085011184,15.659955257270692,15.659955257270694,14.765100671140939,13.870246085011187,13.422818791946309,12.080536912751677,12.080536912751677,11.6331096196868,12.527964205816554,12.527964205816554,12.527964205816554,12.97539149888143,11.6331096196868,10.29082774049217,11.185682326621922,10.29082774049217,9.395973154362416,10.290827740492169,11.185682326621924,8.948545861297537,8.948545861297537,9.843400447427292,9.843400447427292,9.843400447427292,12.527964205816556,12.080536912751679,11.931394481730052,6.7114093959731544
cell_151,9.950248756218905,31.509121061359867,28.855721393034827,31.343283582089555,28.85572139303483,23.880597014925375,25.373134328358212,27.36318407960199,30.34825870646766,31.343283582089555,30.845771144278608,29.85074626865672,28.35820895522388,24.875621890547265,22.885572139303484,25.870646766169155,24.37810945273632,25.870646766169155,25.870646766169152,25.37313432835821,21.89054726368159,23.88059701492537,23.88059701492537,23.383084577114428,23.383084577114428,23.88059701492537,22.388059701492534,19.90049751243781,20.895522388059703,19.90049751243781,22.388059701492537,19.90049751243781,19.402985074626866,19.402985074626866,20.895522388059703,18.407960199004975,19.90049751243781,18.407960199004975,17.412935323383085,16.417910447761194,13.930348258706466,13.930348258706466,14.925373134328359,15.422885572139302,14.427860696517412,16.915422885572138,14.427860696517412,14.925373134328357,11.940298507462686,12.43781094527363,10.44776119402985,9.45273631840796,9.45273631840796,9.45273631840796,19.402985074626866,28.35820895522388,45.77114427860697,64.17910447761193,80.59701492537313,79.1044776119403,81.59203980099502,82.58706467661692,88.0597014925373,85.07462686567165,90.54726368159203,90.04975124378109,75.12437810945273,60.69651741293532,54.72636815920398,50.74626865671642,52.23880597014925,59.70149253731343,55.22388059701492,52.23880597014925,53.233830845771145,51.74129353233831,50.24875621890548,53.73134328358209,60.69651741293533,58.208955223880594,57.71144278606965,56.21890547263682,56.21890547263682,52.23880597014925,47.26368159203981,41.29353233830846,42.78606965174129,38.308457711442784,38.80597014925373,39.80099502487562,40.79601990049751,36.31840796019901,39.80099502487562,37.3134328358209,37.810945273631845,39.30348258706468,40.79601990049751,39.30348258706468,36.318407960199,33.830845771144276,33.830845771144276,32.33830845771144,31.343283582089548,30.34825870646766,30.845771144278608,24.875621890547265,25.373134328358212,25.373134328358205,26.3681592039801,26.3681592039801,29.850746268656714,29.353233830845767,23.88059701492537,26.3681592039801,26.865671641791046,24.378109452736318,22.388059701492537,27.363184079601986,28.35820895522388,24.378109452736318,23.880597014925375,26.3681592039801,22.388059701492537,21.393034825870643,22.885572139303484,25.37313432835821,25.37313432835821,26.865671641791046,26.3681592039801,28.855721393034827,27.363184079601993,26.3681592039801,27.363184079601986,28.35820895522388,26.3681592039801,27.36318407960199,25.870646766169155,27.860696517412933,25.870646766169152,28.358208955223876,26.865671641791046,27.363184079601993,21.393034825870647,19.40298507462687,16.41791044776119,17.41293532338308,17.41293532338308,19.90049751243781,20.895522388059696,20.729684908789384,17.41293532338308
cell_152,18.2370820668693,16.21073961499493,15.19756838905775,18.2370820668693,20.06079027355623,18.844984802431608,18.2370820668693,19.45288753799392,16.413373860182368,18.2370820668693,21.27659574468085,24.316109422492403,22.492401215805472,23.70820668693009,19.452887537993924,18.237082066869302,17.62917933130699,19.45288753799392,20.06079027355623,21.276595744680847,20.06079027355623,21.27659574468085,21.276595744680854,23.10030395136778,23.100303951367778,24.92401215805471,21.88449848024316,21.276595744680847,18.2370820668693,19.45288753799392,17.02127659574468,17.02127659574468,15.80547112462006,13.98176291793313,12.76595744680851,13.373860182370821,10.942249240121582,9.726443768996962,7.90273556231003,7.2948328267477205,4.25531914893617,4.25531914893617,6.68693009118541,6.686930091185411,6.0790273556231,7.29483282674772,7.29483282674772,6.0790273556231,6.0790273556231,4.25531914893617,3.64741641337386,4.25531914893617,4.25531914893617,23.10030395136778,57.14285714285714,88.14589665653496,133.73860182370822,165.34954407294833,184.80243161094225,187.2340425531915,198.17629179331306,189.05775075987842,190.27355623100303,179.33130699088144,160.48632218844983,139.209726443769,119.75683890577508,107.59878419452887,94.22492401215806,90.5775075987842,80.24316109422493,76.59574468085107,67.47720364741642,60.182370820668694,55.92705167173252,49.84802431610942,43.161094224924014,38.90577507598784,42.55319148936171,39.51367781155015,39.51367781155015,38.29787234042553,33.434650455927056,29.17933130699088,27.96352583586626,26.13981762917933,27.96352583586626,27.96352583586626,26.747720364741642,24.316109422492403,25.531914893617024,22.492401215805472,26.139817629179333,26.139817629179333,27.355623100303955,29.787234042553195,29.179331306990882,27.35562310030395,26.74772036474164,30.3951367781155,27.96352583586626,29.78723404255319,27.35562310030395,29.179331306990882,25.531914893617017,27.35562310030395,25.53191489361702,24.92401215805471,20.06079027355623,19.45288753799392,17.02127659574468,17.02127659574468,17.02127659574468,20.06079027355623,18.84498480243161,17.62917933130699,16.41337386018237,14.58966565349544,13.98176291793313,13.37386018237082,14.58966565349544,12.76595744680851,17.02127659574468,15.80547112462006,17.02127659574468,13.981762917933132,13.981762917933132,9.118541033434651,7.29483282674772,7.2948328267477205,9.726443768996962,12.158054711246201,13.373860182370821,15.80547112462006,15.19756838905775,14.58966565349544,11.550151975683889,13.37386018237082,11.55015197568389,13.981762917933132,16.413373860182368,20.06079027355623,20.06079027355623,19.452887537993924,17.62917933130699,15.80547112462006,12.76595744680851,11.55015197568389,15.19756838905775,15.19756838905775,24.3161094224924
cell_153,34.229828850855746,31.78484107579462,34.229828850855746,37.163814180929094,38.63080684596577,41.0757946210269,39.60880195599022,40.586797066014675,37.163814180929094,38.141809290953546,38.141809290953546,40.09779951100245,37.163814180929094,37.65281173594132,33.74083129584352,33.2518337408313,32.76283618581907,32.27383863080685,32.762836185819076,37.1638141809291,35.696821515892424,35.696821515892424,41.56479217603912,40.09779951100245,40.58679706601467,39.119804400978,40.09779951100244,34.22982885085575,35.2078239608802,33.2518337408313,32.27383863080685,28.36185819070905,29.339853300733502,29.339853300733502,28.36185819070905,28.850855745721276,32.27383863080685,29.828850855745724,27.3838630806846,26.894865525672373,26.405867970660147,24.938875305623473,26.894865525672376,26.894865525672376,24.938875305623476,25.4278728606357,24.44987775061125,23.960880195599024,22.98288508557458,22.982885085574573,21.026894865525676,19.070904645476773,18.58190709046455,48.899755501222494,85.57457212713936,123.71638141809292,152.07823960880197,173.59413202933987,167.23716381418097,147.18826405867972,123.22738386308072,113.44743276283621,100.24449877750614,86.55256723716383,81.66259168704158,78.23960880195601,71.39364303178485,72.86063569682152,74.3276283618582,71.39364303178485,72.3716381418093,70.4156479217604,71.88264058679707,66.99266503667482,67.97066014669927,61.12469437652812,64.5476772616137,62.10268948655256,59.65770171149144,57.21271393643031,61.613691931540345,55.74572127139365,51.344743276283616,50.85574572127139,44.49877750611247,40.58679706601467,41.56479217603912,39.119804400978,41.56479217603912,45.965770171149146,46.45476772616137,42.053789731051346,41.56479217603912,43.0317848410758,44.9877750611247,44.987775061124694,45.47677261613692,47.432762836185816,41.56479217603912,41.075794621026894,43.520782396088016,42.54278728606357,43.52078239608802,49.38875305623472,45.47677261613692,39.60880195599022,40.58679706601467,39.608801955990224,36.18581907090465,37.163814180929094,40.58679706601467,36.67481662591687,37.65281173594132,34.229828850855746,31.784841075794624,27.3838630806846,29.3398533007335,25.916870415647924,28.850855745721276,30.806845965770176,33.74083129584352,30.806845965770172,36.18581907090465,35.2078239608802,32.76283618581907,29.82885085574572,34.71882640586797,31.784841075794624,32.76283618581907,35.20782396088019,36.18581907090465,32.762836185819076,33.2518337408313,32.27383863080685,33.251833740831295,30.806845965770172,32.27383863080685,28.850855745721272,26.405867970660147,23.471882640586802,25.916870415647924,22.49388753056235,23.960880195599028,24.449877750611254,27.872860635696824,29.339853300733502,32.762836185819076,33.74083129584352,34.71882640586797,31.784841075794628,26.894865525672373
cell_154,16.666666666666668,17.77777777777778,22.0,22.0,26.666666666666668,27.333333333333336,29.333333333333336,30.666666666666664,34.666666666666664,30.666666666666664,30.666666666666668,31.333333333333332,27.333333333333336,23.333333333333336,26.000000000000004,26.66666666666667,23.33333333333334,23.333333333333336,24.666666666666668,24.666666666666668,23.333333333333336,24.0,24.000000000000007,22.66666666666667,20.666666666666668,23.333333333333336,20.000000000000004,20.0,22.66666666666667,21.333333333333336,16.666666666666668,17.333333333333336,15.333333333333334,12.0,10.666666666666668,10.000000000000002,10.666666666666668,11.333333333333334,11.333333333333336,10.66666666666667,10.666666666666668,9.333333333333334,10.0,7.333333333333334,6.666666666666667,8.0,8.0,7.333333333333334,8.0,9.333333333333334,8.0,6.666666666666667,9.333333333333334,31.33333333333334,82.0,111.33333333333334,142.0,153.33333333333334,161.33333333333331,129.33333333333331,116.66666666666667,100.66666666666666,97.33333333333333,80.0,74.66666666666667,65.33333333333334,60.0,60.0,54.00000000000001,48.00000000000001,50.66666666666667,51.33333333333334,52.00000000000001,54.00000000000001,52.66666666666668,52.66666666666667,52.66666666666667,50.66666666666668,52.000000000000014,50.666666666666686,43.33333333333334,43.33333333333334,36.666666666666664,33.333333333333336,36.0,35.333333333333336,31.33333333333334,33.333333333333336,31.333333333333336,26.666666666666675,30.66666666666667,28.666666666666668,26.0,23.333333333333336,22.666666666666668,18.66666666666667,19.333333333333336,20.666666666666668,22.666666666666668,21.333333333333336,24.66666666666667,26.000000000000004,24.66666666666667,26.66666666666667,27.333333333333336,24.66666666666667,24.666666666666668,24.000000000000007,22.000000000000004,24.0,24.0,25.333333333333336,22.666666666666668,26.000000000000004,21.999999999999996,23.33333333333333,18.0,20.66666666666667,18.66666666666667,19.333333333333336,18.666666666666668,19.333333333333336,22.0,19.333333333333336,22.000000000000004,21.333333333333336,22.0,20.0,20.0,18.666666666666668,16.0,17.333333333333336,15.333333333333336,18.0,18.666666666666668,21.333333333333336,21.333333333333336,22.000000000000004,18.666666666666668,19.333333333333336,19.333333333333336,15.333333333333334,17.333333333333336,20.666666666666668,20.666666666666668,22.0,24.000000000000007,22.66666666666667,19.333333333333336,15.555555555555557,13.333333333333334
cell_155,23.36448598130841,20.249221183800618,19.626168224299064,19.626168224299064,20.5607476635514,18.691588785046726,21.495327102803735,22.429906542056074,22.429906542056074,22.429906542056074,25.233644859813083,26.168224299065418,25.233644859813083,22.429906542056074,25.233644859813083,23.36448598130841,21.49532710280374,22.429906542056074,25.233644859813083,24.299065420560748,25.233644859813086,24.299065420560748,23.364485981308412,21.49532710280374,17.757009345794394,16.822429906542055,20.560747663551403,19.626168224299064,20.5607476635514,19.62616822429906,21.495327102803735,17.75700934579439,15.887850467289718,17.75700934579439,21.49532710280374,20.560747663551403,17.75700934579439,18.691588785046733,14.953271028037383,13.084112149532709,12.149532710280372,11.214953271028037,10.2803738317757,14.018691588785046,12.149532710280374,13.08411214953271,14.953271028037383,14.953271028037381,14.018691588785046,14.018691588785048,12.149532710280374,12.149532710280374,13.084112149532709,23.36448598130841,43.925233644859816,57.94392523364486,83.17757009345794,111.21495327102804,134.57943925233644,140.18691588785046,140.18691588785046,136.4485981308411,124.29906542056075,99.06542056074767,79.4392523364486,72.89719626168224,62.61682242990654,53.271028037383175,43.925233644859816,43.925233644859816,39.25233644859813,33.64485981308411,30.841121495327098,42.05607476635514,46.72897196261682,48.598130841121495,46.72897196261682,47.66355140186916,35.51401869158878,28.971962616822427,30.8411214953271,32.71028037383177,31.775700934579437,33.64485981308411,31.775700934579437,27.102803738317757,26.168224299065418,28.037383177570092,25.233644859813083,25.233644859813083,21.495327102803735,23.364485981308412,24.299065420560744,26.168224299065418,25.233644859813083,29.906542056074766,22.429906542056074,15.887850467289718,15.88785046728972,20.560747663551396,18.691588785046726,21.495327102803735,22.42990654205607,25.23364485981308,19.626168224299064,19.626168224299064,19.62616822429906,17.75700934579439,14.018691588785044,15.887850467289717,14.018691588785044,14.953271028037381,13.08411214953271,15.88785046728972,14.953271028037383,13.08411214953271,12.149532710280372,14.953271028037381,14.018691588785046,14.018691588785046,17.75700934579439,15.887850467289718,16.822429906542055,13.084112149532709,12.149532710280372,14.018691588785046,14.018691588785044,12.149532710280372,13.084112149532707,14.953271028037381,13.084112149532707,14.953271028037381,14.018691588785044,13.08411214953271,12.149532710280374,14.953271028037381,13.084112149532709,14.953271028037381,14.953271028037381,14.018691588785046,9.345794392523363,10.2803738317757,8.411214953271028,13.084112149532709,13.084112149532709,14.953271028037381,14.018691588785044,14.953271028037381,12.149532710280372,10.903426791277255,14.018691588785044
